Date,Description,Amount,Running Bal.,
2024-04-23,PATH TAPP PAYGO CP 04/22 MOBILE PURCHASE NEW JERSEY NJ,-2.75,406.94,
2024-04-23,KARAKATTA 04/22 PURCHASE NEW YORK NY,-25.7,381.24,
2024-04-23,3 DE ICE CREAM 04/22 MOBILE PURCHASE LONG IS CITY NY,-5.64,375.6,
2024-04-23,NYU HEALTH CTR 04/23 MOBILE PURCHASE NEW YORK NY,-20,355.6,
2024-04-24,SALEM HALAL MEAT&GROCER 04/23 MOBILE PURCHASE JERSEY CITY NJ,-1.11,354.49,
2024-04-24,SQ *295 GROVE ST 04/23 MOBILE PURCHASE Jersey City NJ,-4.5,349.99,
2024-04-24,AMAZON TIPS*GJ1E71XV3 04/23 PURCHASE SEATTLE WA,-5,344.99,
2024-04-24,NYU HEALTH CTR 04/23 PURCHASE NEW YORK NY,-27.1,317.89,
2024-04-25,AMAZON GROCERY 04/24 REFUND SEATTLE WA,9.58,327.47,
2024-04-25,TST* FRESH & CO - 729 B 04/23 MOBILE PURCHASE NEW YORK NY,-13.47,314,
2024-04-25,SQ *295 GROVE ST 04/24 MOBILE PURCHASE Jersey City NJ,-4,310,
2024-04-25,PATH TAPP PAYGO CP 04/24 MOBILE PURCHASE NEW JERSEY NJ,-2.75,307.25,
2024-04-25,MCDONALD'S F13654 04/24 MOBILE PURCHASE JERSEY CITY NJ,-18.64,288.61,
2024-04-26,TST* FRESH & CO - 729 B 04/24 MOBILE PURCHASE NEW YORK NY,-13.47,275.14,
2024-04-29,PATH TAPP PAYGO CP 04/25 MOBILE PURCHASE NEW JERSEY NJ,-2.75,272.39,
2024-04-29,McDonalds 13654 04/25 PURCHASE JERSEY CITY NJ,-9.04,263.35,
2024-04-29,PATH TAPP PAYGO CP 04/26 MOBILE PURCHASE NEW JERSEY NJ,-2.75,260.6,
2024-04-29,NYU STARBUCKS CAFE 04/26 MOBILE PURCHASE NEW YORK NY,-5.93,254.67,
2024-04-29,KARAKATTA 04/26 PURCHASE NEW YORK NY,-24.41,230.26,
2024-04-29,SQ *295 GROVE ST 04/27 MOBILE PURCHASE Jersey City NJ,-7.75,222.51,
2024-04-29,AMAZON MAR* XXX-XX9735 04/27 PURCHASE HTTPSAMAZON.C WA,-8.52,213.99,
2024-04-29,SQ *295 GROVE ST 04/28 MOBILE PURCHASE Jersey City NJ,-4.5,209.49,
2024-04-29,SQ *295 GROVE ST 04/28 MOBILE PURCHASE Jersey City NJ,-7,202.49,
2024-04-29,SQ *OLIVA 04/28 MOBILE PURCHASE Jersey City NJ,-4.99,197.5,
2024-04-30,BEECHWOOD CAFE 04/28 PURCHASE JERSEY CITY NJ,-28.46,169.04,
2024-04-30,BEECHWOOD CAFE 04/28 PURCHASE JERSEY CITY NJ,-8,161.04,
2024-04-30,PATH TAPP PAYGO CP 04/29 MOBILE PURCHASE NEW JERSEY NJ,-2.75,158.29,
2024-04-30,SQ *295 GROVE ST 04/29 MOBILE PURCHASE Jersey City NJ,-5.5,152.79,
2024-04-30,MUTEKI RAMEN 04/29 MOBILE PURCHASE JERSEY CITY NJ,-25.33,127.46,
2024-05-01,TST* FRESH & CO - 729 B 04/29 MOBILE PURCHASE NEW YORK NY,-13.47,113.99,
2024-05-01,AMZN Mktp US*G06FG5793 04/29 PURCHASE Amzn.com/bill WA,-7.36,106.63,
2024-05-01,AMAZON GROCE*IE9MZ51Q3 04/30 PURCHASE SEATTLE WA,-78.37,28.26,
2024-05-01,SQ *295 GROVE ST 04/30 MOBILE PURCHASE Jersey City NJ,-4,24.26,
2024-05-02,Online Banking transfer from SAV 0485 Confirmation# XXXXX34489,500,524.26,
2024-05-02,TST* FRESH & CO - 729 B 04/30 MOBILE PURCHASE NEW YORK NY,-13.53,510.73,
2024-05-02,AMAZON TIPS*GN49G3JF3 05/01 PURCHASE SEATTLE WA,-5,505.73,
2024-05-03,TST* FRESH & CO - 729 B 05/01 MOBILE PURCHASE NEW YORK NY,-6.73,499,
2024-05-06,SQ *295 GROVE ST 05/03 MOBILE PURCHASE JERSEY CITY NJ,-4.5,494.5,
2024-05-06,TST* FRESH & CO - 729 B 05/03 MOBILE PURCHASE NEW YORK NY,-15.63,478.87,
2024-05-06,SALEM HALAL MEAT&GROCER 05/03 MOBILE PURCHASE JERSEY CITY NJ,-6.08,472.79,
2024-05-06,APPLE.COM/BILL 05/04 PURCHASE 866-712-7753 CA,-6.38,466.41,
2024-05-06,SQ *295 GROVE ST 05/04 MOBILE PURCHASE JERSEY CITY NJ,-4,462.41,
2024-05-06,SQ *295 GROVE ST 05/04 MOBILE PURCHASE JERSEY CITY NJ,-8.75,453.66,
2024-05-06,McDonalds 13654 05/04 PURCHASE JERSEY CITY NJ,-7.13,446.53,
2024-05-06,McDonalds 13654 05/04 PURCHASE JERSEY CITY NJ,-11.81,434.72,
2024-05-07,AMAZON.COM*GW3IH98K3 05/05 PURCHASE SEATTLE WA,-10.64,424.08,
2024-05-07,SQ *295 GROVE ST 05/06 MOBILE PURCHASE Jersey City NJ,-4,420.08,
2024-05-07,FIV*GONG CHA 05/06 MOBILE PURCHASE NEW YORK NY,-7.62,412.46,
2024-05-08,Muji - Cooper Square 05/06 MOBILE PURCHASE NEW YORK NY,-17.68,394.78,
2024-05-08,SQ *295 GROVE ST 05/07 MOBILE PURCHASE Jersey City NJ,-4,390.78,
2024-05-08,EAST FLOUR. 05/07 MOBILE PURCHASE JERSEY CITY NJ,-17.01,373.77,
2024-05-08,D&Y CONTINENTAL FRUIT 05/07 MOBILE PURCHASE JERSEY CITY NJ,-22.36,351.41,
2024-05-09,AMZN Mktp US*T48Y40B53 05/07 PURCHASE Amzn.com/bill WA,-7.45,343.96,
2024-05-09,APPLE.COM/BILL 05/08 PURCHASE 866-712-7753 CA,-21.31,322.65,
2024-05-09,SQ *MATTO APP 05/08 PURCHASE gosq.com NY,-10,312.65,
2024-05-09,NYU HEALTH CTR 05/09 MOBILE PURCHASE NEW YORK NY,-20,292.65,
2024-05-10,TST* FRESH & CO - 729 B 05/08 MOBILE PURCHASE NEW YORK NY,-15.12,277.53,
2024-05-10,TST* SANUKI UDON 05/08 MOBILE PURCHASE New York NY,-17.66,259.87,
2024-05-13,TST* FRESH & CO - 729 B 05/09 MOBILE PURCHASE NEW YORK NY,-15.12,244.75,
2024-05-13,TST* SANUKI UDON 05/10 MOBILE PURCHASE New York NY,-15.78,228.97,
2024-05-13,SQ *295 GROVE ST 05/11 MOBILE PURCHASE JERSEY CITY NJ,-4,224.97,
2024-05-13,RUI TEA 05/11 MOBILE PURCHASE XXX-XX305592 IL,-6.92,218.05,
2024-05-13,McDonalds 13654 05/11 PURCHASE JERSEY CITY NJ,-15.12,202.93,
2024-05-13,PATH TAPP PAYGO CP 05/12 MOBILE PURCHASE NEW JERSEY NJ,-2.75,200.18,
2024-05-13,SQ *295 GROVE ST 05/12 MOBILE PURCHASE Jersey City NJ,-10.25,189.93,
2024-05-13,PATH TAPPPAYGO TAPDRCP 05/12 MOBILE PURCHASE NEW JERSEY NJ,-2.75,187.18,
2024-05-14,GONG CHA-FULTON CENTER 05/12 MOBILE PURCHASE NEW YORK NY,-8.98,178.2,
2024-05-14,McDonalds 13654 05/12 PURCHASE JERSEY CITY NJ,-5.9,172.3,
2024-05-14,PATH TAPP PAYGO CP 05/13 MOBILE PURCHASE NEW JERSEY NJ,-2.75,169.55,
2024-05-14,SQ *MATTO APP 05/13 PURCHASE gosq.com NY,-10,159.55,
2024-05-14,Duane Reade ST 05/14 MOBILE PURCHASE JERSEY CITY NJ,-7.68,151.87,
2024-05-15,NYU STARBUCKS CAFE 05/13 MOBILE PURCHASE NEW YORK NY,-5.93,145.94,
2024-05-15,TST* FRESH & CO - 729 B 05/13 MOBILE PURCHASE NEW YORK NY,-13.47,132.47,
2024-05-15,TST* FRESH & CO - 729 B 05/13 MOBILE PURCHASE NEW YORK NY,-13.47,119,
2024-05-15,McDonalds 13654 05/13 PURCHASE JERSEY CITY NJ,-5.9,113.1,
2024-05-15,SQ *295 GROVE ST 05/14 MOBILE PURCHASE JERSEY CITY NJ,-7.5,105.6,
2024-05-15,PATH TAPP PAYGO CP 05/14 MOBILE PURCHASE NEW JERSEY NJ,-2.75,102.85,
2024-05-15,CMSVEND*CV AVENEL 05/14 MOBILE PURCHASE AVENEL NJ,-8,94.85,
2024-05-15,RUI TEA 05/14 MOBILE PURCHASE XXX-XX305592 IL,-7.7,87.15,
2024-05-15,Amazon Prime*NF7FX7O63 05/14 PURCHASE Amzn.com/bill WA,-7.99,79.16,
2024-05-16,Online Banking transfer from SAV 0485 Confirmation# XXXXX99878,200,279.16,
2024-05-16,SQ *295 GROVE ST 05/15 MOBILE PURCHASE JERSEY CITY NJ,-8.5,270.66,
2024-05-16,SQ *295 GROVE ST 05/15 MOBILE PURCHASE JERSEY CITY NJ,-3,267.66,
2024-05-16,PATH TAPP PAYGO CP 05/15 MOBILE PURCHASE NEW JERSEY NJ,-2.75,264.91,
2024-05-17,TST* FRESH & CO - 729 B 05/15 MOBILE PURCHASE NEW YORK NY,-15.12,249.79,
2024-05-17,TST* SANUKI UDON 05/15 MOBILE PURCHASE New York NY,-16.5,233.29,
2024-05-17,SQ *295 GROVE ST 05/16 MOBILE PURCHASE Jersey City NJ,-5.5,227.79,
2024-05-17,CANTEEN VENDING 05/16 MOBILE PURCHASE AVENEL NJ,-4,223.79,
2024-05-20,Online Banking transfer from SAV 0485 Confirmation# XXXXX61456,100,323.79,
2024-05-20,TST* FRESH & CO - 729 B 05/16 MOBILE PURCHASE NEW YORK NY,-15.12,308.67,
2024-05-20,AMAZON RET* XXX-XX2655 05/16 PURCHASE WWW.AMAZON.CO WA,-22.99,285.68,
2024-05-20,TST* NASLICE 05/16 MOBILE PURCHASE New York NY,-18.07,267.61,
2024-05-20,PATH TAPP PAYGO CP 05/17 MOBILE PURCHASE NEW JERSEY NJ,-2.75,264.86,
2024-05-20,TST* HAPPY DAYS ICE CRE 05/16 MOBILE PURCHASE Jersey City NJ,-10.12,254.74,
2024-05-20,SQ *295 GROVE ST 05/17 MOBILE PURCHASE Jersey City NJ,-4,250.74,
2024-05-20,PATH TAPPPAYGO TAPDRCP 05/17 MOBILE PURCHASE NEW JERSEY NJ,-2.75,247.99,
2024-05-20,SQ *THINK COFFEE MERCER 05/17 MOBILE PURCHASE New York NY,-4.3,243.69,
2024-05-20,TST* FRESH & CO - 729 B 05/17 MOBILE PURCHASE NEW YORK NY,-15.12,228.57,
2024-05-20,SNACK* LAZY SUNDAES 11 05/17 MOBILE PURCHASE XXX-XX682146 CA,-6.71,221.86,
2024-05-20,McDonalds 13654 05/17 PURCHASE JERSEY CITY NJ,-2.65,219.21,
2024-05-20,Duane Reade ST 05/17 MOBILE PURCHASE JERSEY CITY NJ,-4.99,214.22,
2024-05-20,SHAKE SHACK - 1441A 05/17 PURCHASE 646-747-0041 NJ,-11.17,203.05,
2024-05-20,RED FEAST WINE & LIQUOR 05/17 MOBILE PURCHASE JERSEY CITY NJ,-14.92,188.13,
2024-05-20,SQ *295 GROVE ST 05/18 MOBILE PURCHASE Jersey City NJ,-4,184.13,
2024-05-20,PATH TAPP PAYGO CP 05/18 MOBILE PURCHASE NEW JERSEY NJ,-2.75,181.38,
2024-05-20,HEAVENLY MARKET & CAFE 05/18 MOBILE PURCHASE NEW YORK NY,-1.91,179.47,
2024-05-20,SNACK* LAZY SUNDAES 11 05/18 MOBILE PURCHASE XXX-XX682146 CA,-7.28,172.19,
2024-05-20,MTA*NYCT PAYGO 05/18 MOBILE PURCHASE NEW YORK NY,-2.9,169.29,
2024-05-20,PATH TAPP PAYGO CP 05/18 MOBILE PURCHASE NEW JERSEY NJ,-2.75,166.54,
2024-05-20,DELI PLUS 05/18 MOBILE PURCHASE JERSEY CITY NJ,-21.96,144.58,
2024-05-20,PATH TAPP PAYGO CP 05/18 MOBILE PURCHASE NEW JERSEY NJ,-2.75,141.83,
2024-05-20,EDDIES ICE CREAM CORP 05/19 MOBILE PURCHASE STATEN ISLAND NY,-5.89,135.94,
2024-05-21,Online Banking transfer from SAV 0485 Confirmation# XXXXX25117,"1,000.00","1,135.94",
2024-05-21,Online Banking transfer from SAV 0485 Confirmation# XXXXX34206,878,"2,013.94",
2024-05-21,PRINTWITHME 05/20 PURCHASE XXXXX72118 IL,-0.41,"2,013.53",
2024-05-21,NYWWPAULUSHOOKTOM6018 05/20 PURCHASE WEEHAWKEN NJ,-8.5,"2,005.03",
2024-05-21,Online Banking transfer to SAV 0485 Confirmation# XXXXX86718,-21.21,"1,983.82",
2024-05-22,MTA*NYCT PAYGO 05/20 MOBILE PURCHASE NEW YORK NY,-2.9,"1,980.92",
2024-05-22,MTA*NYCT PAYGO 05/20 MOBILE PURCHASE NEW YORK NY,-2.9,"1,978.02",
2024-05-22,SQ *295 GROVE ST 05/21 MOBILE PURCHASE Jersey City NJ,-4,"1,974.02",
2024-05-22,PATH TAPP PAYGO CP 05/21 MOBILE PURCHASE NEW JERSEY NJ,-2.75,"1,971.27",
2024-05-22,SQ *BLUE BOTTLE COFFEE 05/21 MOBILE PURCHASE New York NY,-3.81,"1,967.46",
2024-05-22,LinkedIn Pre P51369594 05/21 PURCHASE XXX-XX35653 CA,-39.99,"1,927.47",
2024-05-22,Uniqlo USA LLC 05/22 MOBILE PURCHASE New York NY,-84.8,"1,842.67",
2024-05-22,Zelle payment to Ugur Ozkusen Conf# kz5blk8k7,-36,"1,806.67",
2024-05-22,Monthly Maintenance Fee,-12,"1,794.67",
2024-05-23,MTA*NYCT PAYGO 05/21 MOBILE PURCHASE NEW YORK NY,-2.9,"1,791.77",
2024-05-23,AMAZON.COM*4L1Z27SL3 05/21 PURCHASE SEATTLE WA,-723.37,"1,068.40",
2024-05-23,MTA*NYCT PAYGO 05/21 MOBILE PURCHASE NEW YORK NY,-2.9,"1,065.50",
2024-05-23,AMZN Mktp US*LA7EP9BQ3 05/21 PURCHASE Amzn.com/bill WA,-38.37,"1,027.13",
2024-05-23,SQ *295 GROVE ST 05/22 MOBILE PURCHASE Jersey City NJ,-9,"1,018.13",
2024-05-23,SALEM HALAL MEAT&GROCER 05/22 MOBILE PURCHASE JERSEY CITY NJ,-5.2,"1,012.93",
2024-05-23,Duane Reade ST 05/22 MOBILE PURCHASE JERSEY CITY NJ,-11.09,"1,001.84",
